,Location,PopTotal,PopDensity
241,Latin American and Caribbean Group (GRULAC),649376000.0,32.419000000000004
242,Latvia,1886000.0,30.325
243,"League of Arab States (LAS, informal name: Arab League)",436379000.0,33.541
244,Least developed countries,1057438000.0,52.50899999999999
245,Least developed: Africa,701835000.0,40.101
246,Least developed: Asia,343075000.0,133.599
247,Least developed: Latin America and the Caribbean,11403000.0,413.735
248,Least developed: Oceania,1125000.0,27.432
249,Lebanon,6825000.0,667.199
250,Lesotho,2142000.0,70.562
251,Less developed regions,6521494000.0,80.515
252,"Less developed regions, excluding China",5050208000.0,70.561
253,"Less developed regions, excluding least developed countries",5464056000.0,89.78200000000001
254,Less developed: Africa,1340598000.0,45.216
255,Less developed: Asia,4514578000.0,147.205
256,Less developed: Latin America and the Caribbean,653962000.0,32.472
257,Less developed: Oceania,12356000.0,22.845
258,Liberia,5058000.0,52.50899999999999
259,Libya,6871000.0,3.905
260,Liechtenstein,38000.0,238.356
261,Lithuania,2722000.0,43.43600000000001
262,Low-income countries,775711000.0,52.257
263,Lower-middle-income countries,3098235000.0,144.386
264,Luxembourg,626000.0,241.69
265,Madagascar,27691000.0,47.596000000000004
266,Malawi,19130000.0,202.90599999999998
267,Malaysia,32366000.0,98.512
268,Maldives,541000.0,1801.807
269,Mali,20251000.0,16.596
270,Malta,442000.0,1379.809
271,Marshall Islands,59000.0,328.856
272,Martinique,375000.0,354.024
273,Mauritania,4650000.0,4.511
274,Mauritius,1272000.0,626.486
275,Mayotte,273000.0,727.5010000000001
276,Melanesia,11123000.0,21.003
277,Mexico,128933000.0,66.325
278,Micronesia,549000.0,173.16299999999998
279,Micronesia (Fed. States of),115000.0,164.31599999999997
280,Middle Africa,179595000.0,27.644000000000002
281,Middle-income countries,5753052000.0,74.718
282,Monaco,39000.0,26338.255
283,Mongolia,3278000.0,2.11
284,Montenegro,628000.0,46.696000000000005
285,Montserrat,5000.0,49.99
286,More developed regions,1273304000.0,25.935
287,More developed: Asia,126476000.0,346.934
288,More developed: Europe,747636000.0,33.775999999999996
289,More developed: Northern America,368870000.0,19.777
290,More developed: Oceania,30322000.0,3.8160000000000003
291,Morocco,36911000.0,82.70299999999999
292,Mozambique,31255000.0,39.746
293,Myanmar,54410000.0,83.286
294,Namibia,2541000.0,3.0860000000000003
295,Nauru,11000.0,541.7
296,Nepal,29137000.0,203.25599999999997
297,Netherlands,17135000.0,508.152
298,Netherlands (and dependencies),17475000.0,503.51099999999997
299,New Caledonia,285000.0,15.618
300,New EU member states (joined since 2004),103630000.0,93.04700000000001
301,New Zealand,4822000.0,18.314
302,New Zealand (and dependencies),4843000.0,18.355999999999998
303,Nicaragua,6625000.0,55.049
304,Niger,24207000.0,19.11
305,Nigeria,206140000.0,226.33599999999998
306,Niue,2000.0,6.223
307,No income group available,2944000.0,8.004
308,Non-Self-Governing Territories,1754000.0,5.784
309,North American Free Trade Agreement (NAFTA),497678000.0,24.656
310,North Atlantic Treaty Organization (NATO),944256000.0,41.266999999999996
311,North Macedonia,2083000.0,82.60799999999999
312,Northern Africa,246233000.0,31.691999999999997
313,Northern Africa and Western Asia,525869000.0,41.82
314,Northern America,368870000.0,19.777
315,Northern America,368870000.0,19.777
316,Northern Europe,106261000.0,62.418
317,Northern Mariana Islands,58000.0,125.124
318,Norway,5421000.0,14.842
319,Oceania,42678000.0,5.029
320,Oceania (excluding Australia and New Zealand),12356000.0,22.845
321,Oman,5107000.0,16.5
322,Organisation for Economic Co-operation and Development (OECD),1313469000.0,38.107
323,Organization for Security and Co-operation in Europe (OSCE),1296295000.0,27.691
324,Organization of American States (OAS),1018121000.0,26.603
325,Organization of Petroleum Exporting countries (OPEC),518144000.0,41.886
326,Organization of the Islamic Conference (OIC),1907530000.0,61.18
327,Pakistan,220892000.0,286.546
328,Palau,18000.0,39.33
329,Panama,4315000.0,58.041000000000004
330,Papua New Guinea,8947000.0,19.757
331,Paraguay,7133000.0,17.953
332,Peru,32972000.0,25.759
333,Philippines,109581000.0,367.51199999999994
334,Poland,37847000.0,123.589
335,Polynesia,684000.0,84.521
336,Portugal,10197000.0,111.33
337,Puerto Rico,2861000.0,322.53
338,Qatar,2881000.0,248.153
339,Republic of Korea,51269000.0,527.298
340,Republic of Moldova,4034000.0,122.79899999999999
341,Romania,19238000.0,83.58
342,Russian Federation,145934000.0,8.911
343,Rwanda,12952000.0,525.019
344,Réunion,895000.0,358.12300000000005
345,"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",16227000.0,37.754
346,SIDS Caribbean,43506000.0,192.77700000000002
347,SIDS Pacific,12343000.0,22.828000000000003
348,Saint Barthélemy,10000.0,449.31800000000004
349,Saint Helena,6000.0,15.567
350,Saint Kitts and Nevis,53000.0,204.585
351,Saint Lucia,184000.0,301.031
352,Saint Martin (French part),39000.0,729.415
353,Saint Pierre and Miquelon,6000.0,25.195999999999998
354,Saint Vincent and the Grenadines,111000.0,284.47900000000004
355,Samoa,198000.0,70.11
356,San Marino,34000.0,565.633
357,Sao Tome and Principe,219000.0,228.293
358,Saudi Arabia,34814000.0,16.195
359,Senegal,16744000.0,86.96799999999999
360,Serbia,8737000.0,99.90100000000001
361,Seychelles,98000.0,213.783
362,Shanghai Cooperation Organization (SCO),3254463000.0,98.72200000000001
363,Sierra Leone,7977000.0,110.515
364,Singapore,5850000.0,8357.633
365,Sint Maarten (Dutch part),43000.0,1261.235
366,Slovakia,5460000.0,113.53399999999999
367,Slovenia,2079000.0,103.22399999999999
368,Small Island Developing States (SIDS),72076000.0,60.255
369,Solomon Islands,687000.0,24.54
370,Somalia,15893000.0,25.334
371,South Africa,59309000.0,48.891000000000005
372,South America,430760000.0,24.67
373,South Asian Association for Regional Cooperation (SAARC),1856377000.0,389.04900000000004
374,South Sudan,11194000.0,18.322
375,South-Eastern Asia,668620000.0,154.035
376,Southern Africa,67504000.0,25.467
377,Southern African Development Community (SADC),363229000.0,37.650999999999996
378,Southern Asia,1940370000.0,303.177
379,Southern Common Market (MERCOSUR),308470000.0,22.628
380,Southern Europe,152215000.0,117.54799999999999
381,Spain,46755000.0,93.735
382,Sri Lanka,21413000.0,341.465
383,State of Palestine,5101000.0,847.4110000000001
384,Sub-Saharan Africa,1094366000.0,50.019
385,Sudan,43849000.0,24.843000000000004
386,Suriname,587000.0,3.76
387,Sweden,10099000.0,24.612
388,Switzerland,8655000.0,219.016
389,Syrian Arab Republic,17501000.0,95.304
390,Tajikistan,9538000.0,68.145
391,Thailand,69800000.0,136.624
392,Timor-Leste,1318000.0,88.665
393,Togo,8279000.0,152.211
394,Tokelau,1000.0,135.0
395,Tonga,106000.0,146.80100000000002
396,Trinidad and Tobago,1399000.0,272.805
397,Tunisia,11819000.0,76.072
398,Turkey,84339000.0,109.584
399,Turkmenistan,6031000.0,12.834000000000001
400,Turks and Caicos Islands,39000.0,40.756
401,Tuvalu,12000.0,393.06699999999995
402,UN-ECE: member countries,1301671000.0,28.746
403,UNFPA Regions,6435966000.0,81.293
404,UNFPA: Arab States (AS),377302000.0,38.839
405,UNFPA: Asia and the Pacific (AP),4082579000.0,182.955
406,UNFPA: East and Southern Africa (ESA),617189000.0,50.68
407,UNFPA: Eastern Europe and Central Asia (EECA),249966000.0,42.488
408,UNFPA: Latin America and the Caribbean (LAC),649907000.0,32.442
409,UNFPA: West and Central Africa (WCA),459023000.0,50.739
410,UNICEF PROGRAMME REGIONS,6518336000.0,79.65899999999999
411,UNICEF Programme Regions: East Asia and Pacific (EAPRO),2142209000.0,134.608
412,UNICEF Programme Regions: Eastern Caribbean,2406000.0,249.588
413,UNICEF Programme Regions: Eastern and Southern Africa (ESARO),542249000.0,51.465
414,UNICEF Programme Regions: Europe and Central Asia (CEECIS),280885000.0,44.646
415,UNICEF Programme Regions: Latin America,646666000.0,32.314
416,UNICEF Programme Regions: Latin America and Caribbean (LACRO),649072000.0,32.418
417,UNICEF Programme Regions: Middle East and North Africa (MENARO),498959000.0,38.443000000000005
418,UNICEF Programme Regions: South Asia (ROSA),1856377000.0,389.04900000000004
419,UNICEF Programme Regions: West and Central Africa (WCARO),548584000.0,48.488
420,UNICEF REGIONS,7794799000.0,59.917
421,UNICEF Regions: East Asia and Pacific,2389387000.0,97.975
422,UNICEF Regions: Eastern Europe and Central Asia,426820000.0,18.829
423,UNICEF Regions: Eastern and Southern Africa,589625000.0,47.821000000000005
424,UNICEF Regions: Europe and Central Asia,924613000.0,34.218
425,UNICEF Regions: Latin America and Caribbean,653962000.0,32.472
426,UNICEF Regions: Middle East and North Africa,463375000.0,40.369
427,UNICEF Regions: North America,368870000.0,19.777
428,UNICEF Regions: South Asia,1856377000.0,389.04900000000004
429,UNICEF Regions: Sub-Saharan Africa,1138215000.0,48.14
430,UNICEF Regions: West and Central Africa,548590000.0,48.486999999999995
431,UNICEF Regions: Western Europe,497793000.0,114.35700000000001
432,UNITED NATIONS Regional Groups of Member States,7789099000.0,59.998000000000005
433,Uganda,45741000.0,228.922
434,Ukraine,43734000.0,75.492
435,United Arab Emirates,9890000.0,118.306
436,United Kingdom,67886000.0,280.60200000000003
437,United Kingdom (and dependencies),68405000.0,266.33299999999997
